Year,CO2,Energy,GDP,Earthquakes,Temperature,Decade,CO2_per_capita,World_CO2,Scaled_CO2,Scaled_Temp
1960,0.268,0.0,0.0,0.0,24.43,1960,0.002126984126984127,0.268,-1.095272568433968,-0.7594214503528924
1961,0.284,0.0,0.0,0.0,24.09,1960,0.002253968253968254,0.284,-1.0616232313726621,-1.7185492490886904
1962,0.306,0.0,0.0,0.0,24.18,1960,0.0024285714285714284,0.306,-1.015355392913367,-1.4646624788350973
1963,0.322,0.0,0.0,0.0,24.36,1960,0.0025555555555555557,0.322,-0.9817060558520613,-0.9568889383279106
1964,0.308,0.0,0.0,0.0,24.32,1960,0.0024444444444444444,0.308,-1.0111492257807038,-1.0697275028850608
1965,0.333,0.0,0.0,0.0,24.45,1960,0.002642857142857143,0.333,-0.9585721366224136,-0.7030021680743173
1966,0.337,0.0,0.0,0.0,24.71,1960,0.0026746031746031746,0.337,-0.9501598023570871,0.030448501547180123
1967,0.33,0.0,0.0,0.0,24.28,1960,0.0026190476190476194,0.33,-0.9648813873214084,-1.1825660674422112
1968,0.351,0.0,0.0,0.0,24.17,1960,0.0027857142857142855,0.351,-0.9207166324284447,-1.4928721199743797
1969,0.349,0.0,0.0,0.0,24.8,1960,0.00276984126984127,0.349,-0.9249227995611079,0.28433527180077345
1970,0.348,0.0,0.0,0.0,24.39,1970,0.002761904761904762,0.348,-0.9270258831274396,-0.8722600149100428
1971,0.357,0.0,0.0,0.0,23.92,1970,0.002833333333333333,0.357,-0.9080981310304551,-2.1981131484565846
1972,0.367,0.0,0.0,0.0,24.48,1970,0.002912698412698413,0.367,-0.887067295367139,-0.6183732446564495
1973,0.366,0.0,0.0,0.0,24.61,1970,0.0029047619047619048,0.366,-0.8891703789334706,-0.2516479098457058
1974,0.367,0.0,0.0,0.0,24.42,1970,0.002912698412698413,0.367,-0.887067295367139,-0.787631091492175
1975,0.386,0.0,0.0,0.0,24.09,1970,0.0030634920634920637,0.386,-0.8471087076068384,-1.7185492490886904
1976,0.39,0.0,0.0,0.0,24.41,1970,0.0030952380952380953,0.39,-0.838696373341512,-0.8158407326314676
1977,0.4,0.0,0.0,0.0,24.55,1970,0.0031746031746031746,0.4,-0.8176655376781959,-0.4209057566814313
1978,0.393,0.0,0.0,0.0,24.36,1970,0.0031190476190476194,0.393,-0.8323871226425172,-0.9568889383279106
1979,0.401,0.0,0.0,0.0,24.83,1970,0.0031825396825396826,0.401,-0.8155624541118643,0.36896419521863116
1980,0.414,0.0,0.0,0.0,24.84,1980,0.0032857142857142855,0.414,-0.7882223677495536,0.3971738363579238
1981,0.436,0.0,0.0,0.0,24.49,1980,0.0034603174603174604,0.436,-0.7419545292902582,-0.5901636035171669
1982,0.46,0.0,0.0,0.0,24.45,1980,0.003650793650793651,0.46,-0.6914805236982996,-0.7030021680743173
1983,0.463,0.0,0.0,0.0,24.2,1980,0.0036746031746031746,0.463,-0.6851712729993048,-1.408243196556522
1984,0.49,0.0,0.0,0.0,24.4,1980,0.0038888888888888888,0.49,-0.6283880167083515,-0.8440503737707602
1985,0.491,0.0,0.0,0.0,24.71,1980,0.003896825396825397,0.491,-0.6262849331420199,0.030448501547180123
1986,0.528,0.0,0.0,0.0,24.53,1980,0.004190476190476191,0.528,-0.5484708411877505,-0.4773250389600065
1987,0.553,0.0,0.0,0.0,24.97,1980,0.004388888888888889,0.553,-0.4958937520294603,0.7638991711686675
1988,0.578,0.0,0.0,0.0,24.97,1980,0.004587301587301587,0.578,-0.44331666287117033,0.7638991711686675
1989,0.611,0.0,0.0,0.0,24.41,1980,0.004849206349206349,0.611,-0.3739149051822273,-0.8158407326314676
1990,0.657,0.0,0.0,0.0,24.49,1990,0.005214285714285715,0.657,-0.27717306113097334,-0.5901636035171669
1991,0.668,0.0,0.0,0.0,24.63,1990,0.005301587301587302,0.668,-0.25403914190132565,-0.1952286275671306
1992,0.708,0.0,0.0,0.0,24.49,1990,0.005619047619047619,0.708,-0.1699157992480616,-0.5901636035171669
1993,0.7,0.0,0.0,0.0,24.71,1990,0.005555555555555555,0.7,-0.18674046777871448,0.030448501547180123
1994,0.721,0.0,0.0,0.0,24.56,1990,0.005722222222222222,0.721,-0.14257571288575072,-0.3926961155421487
1995,0.742,0.0,0.0,0.0,24.72,1990,0.005888888888888889,0.742,-0.09841095799278696,0.0586581426864627
1996,0.778,0.0,0.0,0.0,24.77,1990,0.006174603174603175,0.778,-0.022699949604849088,0.19970634838290566
1997,0.798,0.0,0.0,0.0,24.24,1990,0.006333333333333334,0.798,0.01936172172178306,-1.2954046319993717
1998,0.799,0.0,0.0,0.0,24.99,1990,0.006341269841269841,0.799,0.021464805288114668,0.8203184534472426
