Year,CO2,Energy,GDP,Earthquakes,Temperature,Decade,CO2_per_capita,World_CO2
1960,0.268,0.0,0.0,0.0,24.43,1960,0.002126984126984127,0.268
1961,0.284,0.0,0.0,0.0,24.09,1960,0.002253968253968254,0.284
1962,0.306,0.0,0.0,0.0,24.18,1960,0.0024285714285714284,0.306
1963,0.322,0.0,0.0,0.0,24.36,1960,0.0025555555555555557,0.322
1964,0.308,0.0,0.0,0.0,24.32,1960,0.0024444444444444444,0.308
1965,0.333,0.0,0.0,0.0,24.45,1960,0.002642857142857143,0.333
1966,0.337,0.0,0.0,0.0,24.71,1960,0.0026746031746031746,0.337
1967,0.33,0.0,0.0,0.0,24.28,1960,0.0026190476190476194,0.33
1968,0.351,0.0,0.0,0.0,24.17,1960,0.0027857142857142855,0.351
1969,0.349,0.0,0.0,0.0,24.8,1960,0.00276984126984127,0.349
1970,0.348,0.0,0.0,0.0,24.39,1970,0.002761904761904762,0.348
1971,0.357,0.0,0.0,0.0,23.92,1970,0.002833333333333333,0.357
1972,0.367,0.0,0.0,0.0,24.48,1970,0.002912698412698413,0.367
1973,0.366,0.0,0.0,0.0,24.61,1970,0.0029047619047619048,0.366
1974,0.367,0.0,0.0,0.0,24.42,1970,0.002912698412698413,0.367
1975,0.386,0.0,0.0,0.0,24.09,1970,0.0030634920634920637,0.386
1976,0.39,0.0,0.0,0.0,24.41,1970,0.0030952380952380953,0.39
1977,0.4,0.0,0.0,0.0,24.55,1970,0.0031746031746031746,0.4
1978,0.393,0.0,0.0,0.0,24.36,1970,0.0031190476190476194,0.393
1979,0.401,0.0,0.0,0.0,24.83,1970,0.0031825396825396826,0.401
1980,0.414,0.0,0.0,0.0,24.84,1980,0.0032857142857142855,0.414
1981,0.436,0.0,0.0,0.0,24.49,1980,0.0034603174603174604,0.436
1982,0.46,0.0,0.0,0.0,24.45,1980,0.003650793650793651,0.46
1983,0.463,0.0,0.0,0.0,24.2,1980,0.0036746031746031746,0.463
1984,0.49,0.0,0.0,0.0,24.4,1980,0.0038888888888888888,0.49
1985,0.491,0.0,0.0,0.0,24.71,1980,0.003896825396825397,0.491
1986,0.528,0.0,0.0,0.0,24.53,1980,0.004190476190476191,0.528
1987,0.553,0.0,0.0,0.0,24.97,1980,0.004388888888888889,0.553
1988,0.578,0.0,0.0,0.0,24.97,1980,0.004587301587301587,0.578
1989,0.611,0.0,0.0,0.0,24.41,1980,0.004849206349206349,0.611
1990,0.657,0.0,0.0,0.0,24.49,1990,0.005214285714285715,0.657
1991,0.668,0.0,0.0,0.0,24.63,1990,0.005301587301587302,0.668
1992,0.708,0.0,0.0,0.0,24.49,1990,0.005619047619047619,0.708
1993,0.7,0.0,0.0,0.0,24.71,1990,0.005555555555555555,0.7
1994,0.721,0.0,0.0,0.0,24.56,1990,0.005722222222222222,0.721
1995,0.742,0.0,0.0,0.0,24.72,1990,0.005888888888888889,0.742
1996,0.778,0.0,0.0,0.0,24.77,1990,0.006174603174603175,0.778
1997,0.798,0.0,0.0,0.0,24.24,1990,0.006333333333333334,0.798
1998,0.799,0.0,0.0,0.0,24.99,1990,0.006341269841269841,0.799
1999,0.863,0.0,0.0,0.0,24.87,1990,0.006849206349206349,0.863
2000,0.85,394.98401446213,468395521654.458,0.0,24.81,2000,0.0067460317460317455,0.85
2001,0.842,393.447140041734,485440139204.171,1.0,24.93,2000,0.006682539682539682,0.842
2002,0.841,397.345623867375,514939140318.756,1.0,25.2,2000,0.006674603174603174,0.841
2003,0.873,399.700175164457,607700687237.318,0.0,24.94,2000,0.006928571428571429,0.873
2004,0.906,415.479367789798,709152728830.775,1.0,25.02,2000,0.007190476190476191,0.906
2005,0.944,425.369146084358,820383763511.445,1.0,24.77,2000,0.007492063492063492,0.944
2006,0.977,441.786253247166,940259888787.721,0.0,25.03,2000,0.0077539682539682535,0.977
2007,1.06,461.202500518337,1216736438834.96,0.0,25.06,2000,0.008412698412698413,1.06
2008,1.12,481.55314607601,1198895139005.92,0.0,24.82,2000,0.008888888888888889,1.12
2009,1.24,509.44773467983,1341888016994.9,0.0,25.57,2000,0.009841269841269842,1.24
2010,1.26,531.870869241592,1675615519484.96,0.0,25.5,2010,0.01,1.26
2011,1.3,547.48026530693,1823051829894.55,1.0,24.88,2010,0.010317460317460317,1.3
2012,1.42,570.950039689589,1827637590410.41,0.0,24.84,2010,0.01126984126984127,1.42
2013,1.4,576.89142121313,1856721507621.58,1.0,24.71,2010,0.01111111111111111,1.4
2014,1.52,609.769630211591,2039126479154.52,0.0,24.86,2010,0.012063492063492064,1.52
2015,1.6,621.233101872706,2103588360044.94,2.0,24.98,2010,0.012698412698412698,1.6
2016,1.64,625.339936484507,2294796885663.16,1.0,25.36,2010,0.013015873015873015,1.64
2017,1.68,647.961983314095,2651474262755.45,0.0,25.23,2010,0.013333333333333332,1.68
2018,1.77,671.520649189685,2702929641648.74,0.0,25.1,2010,0.014047619047619048,1.77
2019,1.77,665.57468725444,2835606256558.19,0.0,25.03,2010,0.014047619047619048,1.77
2020,1.62,624.86144636956,2674851578587.27,0.0,24.87,2020,0.012857142857142859,1.62
2021,1.77,675.282775662932,3167270623260.47,1.0,25.07,2020,0.014047619047619048,1.77
2022,1.87,712.242532438078,3346107287730.93,0.0,25.18,2020,0.014841269841269843,1.87
