Country,Year,Label,Indicator,Value,Region
Afghanistan,1949,CO2 Emissions (Metric Tons),Emissions,14.7,Rest of World
Afghanistan,1950,CO2 Emissions (Metric Tons),Emissions,84.3,Rest of World
Afghanistan,1951,CO2 Emissions (Metric Tons),Emissions,91.7,Rest of World
Afghanistan,1952,CO2 Emissions (Metric Tons),Emissions,91.7,Rest of World
Afghanistan,1953,CO2 Emissions (Metric Tons),Emissions,106.0,Rest of World
Afghanistan,1954,CO2 Emissions (Metric Tons),Emissions,106.0,Rest of World
Afghanistan,1955,CO2 Emissions (Metric Tons),Emissions,154.0,Rest of World
Afghanistan,1956,CO2 Emissions (Metric Tons),Emissions,183.0,Rest of World
Afghanistan,1957,CO2 Emissions (Metric Tons),Emissions,293.0,Rest of World
Afghanistan,1958,CO2 Emissions (Metric Tons),Emissions,330.0,Rest of World
Afghanistan,1959,CO2 Emissions (Metric Tons),Emissions,385.0,Rest of World
Afghanistan,1960,CO2 Emissions (Metric Tons),Emissions,414.0,Rest of World
Afghanistan,1961,CO2 Emissions (Metric Tons),Emissions,491.0,Rest of World
Afghanistan,1962,CO2 Emissions (Metric Tons),Emissions,689.0,Rest of World
Afghanistan,1963,CO2 Emissions (Metric Tons),Emissions,708.0,Rest of World
Afghanistan,1964,CO2 Emissions (Metric Tons),Emissions,840.0,Rest of World
Afghanistan,1965,CO2 Emissions (Metric Tons),Emissions,1010.0,Rest of World
Afghanistan,1966,CO2 Emissions (Metric Tons),Emissions,1090.0,Rest of World
Afghanistan,1967,CO2 Emissions (Metric Tons),Emissions,1280.0,Rest of World
Afghanistan,1968,CO2 Emissions (Metric Tons),Emissions,1220.0,Rest of World
Afghanistan,1969,CO2 Emissions (Metric Tons),Emissions,942.0,Rest of World
Afghanistan,1970,CO2 Emissions (Metric Tons),Emissions,1670.0,Rest of World
Afghanistan,1971,CO2 Emissions (Metric Tons),Emissions,1900.0,Rest of World
Afghanistan,1972,CO2 Emissions (Metric Tons),Emissions,1530.0,Rest of World
Afghanistan,1973,CO2 Emissions (Metric Tons),Emissions,1640.0,Rest of World
Afghanistan,1974,CO2 Emissions (Metric Tons),Emissions,1920.0,Rest of World
Afghanistan,1975,CO2 Emissions (Metric Tons),Emissions,2130.0,Rest of World
Afghanistan,1976,CO2 Emissions (Metric Tons),Emissions,1990.0,Rest of World
Afghanistan,1977,CO2 Emissions (Metric Tons),Emissions,2390.0,Rest of World
Afghanistan,1978,CO2 Emissions (Metric Tons),Emissions,2160.0,Rest of World
Afghanistan,1979,CO2 Emissions (Metric Tons),Emissions,2240.0,Rest of World
Afghanistan,1980,CO2 Emissions (Metric Tons),Emissions,1760.0,Rest of World
Afghanistan,1981,CO2 Emissions (Metric Tons),Emissions,1980.0,Rest of World
Afghanistan,1982,CO2 Emissions (Metric Tons),Emissions,2100.0,Rest of World
Afghanistan,1983,CO2 Emissions (Metric Tons),Emissions,2520.0,Rest of World
Afghanistan,1984,CO2 Emissions (Metric Tons),Emissions,2830.0,Rest of World
Afghanistan,1985,CO2 Emissions (Metric Tons),Emissions,3510.0,Rest of World
Afghanistan,1986,CO2 Emissions (Metric Tons),Emissions,3140.0,Rest of World
Afghanistan,1987,CO2 Emissions (Metric Tons),Emissions,3120.0,Rest of World
Afghanistan,1988,CO2 Emissions (Metric Tons),Emissions,2870.0,Rest of World
Afghanistan,1989,CO2 Emissions (Metric Tons),Emissions,2780.0,Rest of World
Afghanistan,1990,CO2 Emissions (Metric Tons),Emissions,2610.0,Rest of World
Afghanistan,1991,CO2 Emissions (Metric Tons),Emissions,2440.0,Rest of World
Afghanistan,1992,CO2 Emissions (Metric Tons),Emissions,1390.0,Rest of World
Afghanistan,1993,CO2 Emissions (Metric Tons),Emissions,1350.0,Rest of World
Afghanistan,1994,CO2 Emissions (Metric Tons),Emissions,1290.0,Rest of World
Afghanistan,1995,CO2 Emissions (Metric Tons),Emissions,1240.0,Rest of World
Afghanistan,1996,CO2 Emissions (Metric Tons),Emissions,1180.0,Rest of World
Afghanistan,1997,CO2 Emissions (Metric Tons),Emissions,1100.0,Rest of World
Afghanistan,1998,CO2 Emissions (Metric Tons),Emissions,1040.0,Rest of World
Afghanistan,1999,CO2 Emissions (Metric Tons),Emissions,821.0,Rest of World
Afghanistan,2000,CO2 Emissions (Metric Tons),Emissions,774.0,Rest of World
Afghanistan,2001,CO2 Emissions (Metric Tons),Emissions,818.0,Rest of World
Afghanistan,2002,CO2 Emissions (Metric Tons),Emissions,1070.0,Rest of World
